id,type,name,design,rank,role,base_atk,base_def,passive_name,passive_text,lore,tags,kind,rarity,tier
chicken-of-ice,card,Frostplume Chicken,"A rotund ice chicken with a plump, rounded silhouette, its feathers transformed into overlapping frosty shards and its comb a crown of icy spikes. The body is glassy and semi-translucent, with a soft inner glow like frozen moonlight, while its beak and legs are polished blue crystal. It stands proudly, chest puffed, one wing raised as if mid-flap, eyes wide with a comically fierce determination. The color story is pale cyan, frost white, and deep sapphire shadows. It struts across a frozen pond, snowflakes drifting around its clawed feet. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,99,99,,,"It was a farmyard hen that survived a winter no one else did and came out the other side glassy and glowing. Its comb is a crown of icy spikes, and moonlight pools inside its translucent breast. It struts across the frozen pond like it owns the season, and as far as the pond is concerned, it does.",ice,,,
chicken-of-fire,card,Cindercomb Chicken,"A compact, fierce barnyard chicken with an exaggeratedly tall, jagged comb and a fan of stiff tail feathers that flare like a small flame. Its plumage is layered like scorched copper shingles, tipped with glowing ember edges and dusted with fine soot, while its scaly legs look like cooling lava crust. It struts forward with chest thrust out and one claw lifted, beak open in a defiant crow, eyes narrowed and bold. The palette runs deep charcoal and burnt umber into vivid orange, crimson, and gold highlights. It stands in a smoldering farmyard of cracked earth and drifting sparks. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,55,1,,,"Something in the smoldering farmyard decided a chicken would make a fine little volcano. Its feathers are scorched-copper shingles with ember edges, and its legs are cooling lava crust. It crows at dawn to wake the ash, and the ash always rises.",fire,,,
horse-of-earth,card,Claymane Stallion,"A mighty draft horse with a heavy arched neck, braided mane of woven roots, and hooves like rounded boulders. Its hide is craggy clay and stone, ridged with mineral veins and crusted with patches of soil and lichen, though its eyes glow with warm, living light and its breath puffs faint dust. It rears slightly, forelegs lifted, mane tossing, expression calm but immensely powerful. The palette is terracotta, sandstone, and deep brown with jade and amber mineral accents. It stands on a windswept plateau of cracked earth and scattered standing stones. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,54,46,,,"Its mane is braided roots and its hide is craggy clay veined with jade and copper. It was shaped from the standing stones of a plateau that grew tired of standing still. When it paws the ground, the cracks spread a little farther, and somewhere a mountain feels the itch.",earth,,,
cat-of-electric-and-fire,card,Blazefang Lynx,"A lean, long-legged plains cat with a whip-thin tail and tall pointed ears, its hide a crackling pelt of scorched ember-fur veined with bright arc-light. It crouches mid-pounce, back arched, whiskers sparking, mouth open in a fierce grin, one paw raised to strike. Palette of amber gold, burnt orange and charcoal black split by jagged white-blue lightning flashes. Setting: dry grass plains at dusk with distant thunderheads and drifting ash. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,,7,26,,,"It is a plains cat that chased two storms at once and caught a piece of each. Ember-fur crackles with arc-light, and its whiskers spit sparks when it grins. It hunts in the dry grass at dusk, and the thunderheads on the horizon lean toward it like old friends.",electric;fire,,,
cat-of-fire,card,Forgeheart Cat,"A plump tabby cat dozes by a blacksmith's forge, its fur faintly glowing with ember runes as small flames curl from its tail; warm, painterly character concept.",,,,,,,"It dozes by the blacksmith's forge and pretends not to be made of fire. Ember runes glow faintly through its fur, and its tail curls into small, well-behaved flames. The smith long ago stopped questioning it, and simply sets out a second bowl of milk, warm of course.",fire,,,
beaver-of-ice,card,Frostdam Beaver,"A compact beaver with a crystalline flat tail refracting light, its fur frosted into pale prismatic shards along the back and ears. Icy crust over glossy pelt, breath fogging into glittering frost motes. It crouches low, ears flat, watchful and still amid the cold. Palette of pale glacier blue, bone white, and faint violet prism shimmer. A shadowed stone crypt dusted with frost and old carvings. cartoonish, dramatic rim lighting, rich saturated color with accents",1,,62,11,,,"Its flat tail is a slab of crystal that splits light into color, and frost shards tile its back. It builds its dams in the coldest reaches of the river, where the current freezes mid-sentence. The crypt it dens beside was old when the ice first came, and it has outlasted every attempt to thaw it.",ice,,,
fat-cat-always-grinning,card,Cheshire Glutton,"A hugely overweight tabby cat with a perfectly circular silhouette and a grin stretched ear to ear, cheeks dimpled, eyes crinkled into pleased crescents. Fur is plush ginger-and-cream with darker marbled stripes, a soft wobbly belly spilling over stubby paws, and a tail curled into a neat question mark. It sits like a monument, chin lifted and unbothered, one paw raised as if mid-wave. Warm honeyed palette against a dim tavern corner with a plate of half-eaten fish. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,tank,44,88,Cheshire Guard,Incoming damage to the party is reduced by 6%.,"It has never once stopped smiling, not through famines, sieges, or the day the fishmonger closed. Nobody can tell whether the grin is a threat or a joke, and the cat has declined to clarify. It is enormously fat, appallingly slow, and, as every thief in the district has learned, impossible to knock over.",physical,,,
rabbit-of-muscles,card,Brawnhare,"A compact, hyper-muscular hare standing on hind legs, shoulders bulging, chest broad and veined, front paws clenched into fists. Short dense fur of warm brown over exaggerated deltoids and thighs, long ears swept back like a boxer's headguard, one ear nicked. It glares forward in a braced stance with a tiny fierce scowl under a twitching nose. Palette of warm russet, cream underbelly, and hard shadow against a dusty training yard with a snapped tree stump. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,dps,92,38,Iron Ears,+6% ATK for every other physical card in the party.,"It was the runt of a litter that survived by lifting twice its weight in turnips every morning. Now its haunches are carved from corded muscle, and its ears flex like steel cables when it tenses. It has never lost an arm-wrestle with anything smaller than a boulder, and it is still furious about the boulder.",physical,,,
extra-round-fluffy-chicken,card,Puffball Chicken,"A perfectly spherical chicken, so fluffed with down that its beak and feet barely protrude, forming an absurd round silhouette. Feathers are marshmallow-soft layered cream and pale gold, ruffled in dense overlapping rings, the comb lost entirely in the fluff. It stands stub-legged with wings splayed uselessly for balance, eyes two happy black beads, a faint surprised blink. Palette of warm vanilla, butter yellow, and soft shadow against a sunlit barn floor scattered with straw. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,support,22,76,Fluff Armor,Redirects 5% of damage aimed at allies into its own feathers.,"It is less a chicken than a sphere of down that happens to have opinions. Its feathers have grown so thick and buoyant that weapons simply sink into them and lose their nerve. It has survived three fox raids, two winters, and one attempt to use it as a pillow, all without changing its expression by a single degree.",physical,,,
fiery-horned-sheep,card,Blazefleece Ram,"A stout ram with massive spiraling horns whose tips glow like forge-heated iron, its thick fleece smoldering in seams of ember and drifting ash. The wool reads as magma-crusted curls over dark basalt hide, chest broad and low to the ground, split hooves like cooling lava. It paws the ground mid-charge, head lowered, eyes narrowed and furious, a plume of smoke curling from its nostrils. Palette of deep char, burnt sienna, and searing orange against an ashen hillside. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,tank,71,80,Molten Charge,The first attack each run scorches the attacker for 10% of its ATK.,"It grazes on scorched slopes where nothing else will grow, its wool smoldering gently as it chews. The horns are the hottest part; shepherds mark their flocks by the color of the flame off a ram's brow. It is a patient, heavy animal, right up until it decides to headbutt a mountain.",fire,,,
bark-snake,card,Barkscale Serpent,"A long serpent whose body is made of overlapping bark plates, moss furring the seams and small branches sprouting along its spine. Its head is a blunt wedge of weathered oak with knots for eyes and a forked twig tongue, mouth hinged wide. It rears up from a coil, splintered tail switching, expression ancient and patient. Palette of moss green, bark brown, and pale lichen grey against a misty forest floor crowded with ferns. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,dps,84,47,Grove Camouflage,+10% ATK while any grass card survives in the party.,"It does not slither so much as unfurl, each scale a plate of living bark that creaks like an old branch. Hunters mistake it for a fallen log until the log opens an eye. It sleeps for a season at a time, rooted in the riverbank, and wakes hungry enough to swallow the season whole.",grass,,,
long-neck-turtle,card,Tideneck Tortoise,"An enormous sea turtle carved from living crystal, its faceted shell a dome of translucent blue-teal gemstone with prismatic light refracting through the panes and veins of inner glow tracing the seams. A long neck of segmented crystal scutes arcs up to a small, serene turtle's head with gentle dark eyes, and broad oar-like flippers catch rainbow glints as they stroke, patches of coral and algae clinging where the facets meet. It glides mid-stroke through green-blue water, neck curling in a lazy S. Palette of deep ocean teal, crystal jade, and abalone shimmer against shafts of light through kelp. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,support,36,92,Deep Current,Reduces the party's dungeon power requirement by 4%.,"Its neck uncoils like a length of kelp, long enough to browse the seafloor without ever moving its shell. Sailors tie messages to its neck and let it wander; not all of them arrive. It has seen every coast at least twice and considers the whole ocean a single, slowly turning garden.",water,,,
huge-stone-frog,card,Boulderbelly Frog,"A colossal toad carved from stacked boulders, granite plates for skin with moss and quartz veins in the cracks, eyes two polished amber domes. It crouches low and square, throat inflated, front legs like quarry blocks, each toe capped in flint. Dense and immovable, dust sifting from its back as it turns its head. Palette of granite grey, ochre, and moss green against a misted mountain quarry. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,tank,58,95,Quarry Hide,Ignores 12% of enemy DEF.,"It sits so still that villages build walls around it before anyone notices it is a frog. Its skin is a mosaic of boulders and lichen, and its croak rolls down the valley like an avalanche starting. When it finally shifts, the ground remembers to move with it.",earth,,,
thunder-wolf,card,Thunderfang Wolf,"A lean, long-legged wolf with bristling storm-grey fur shot through with white-hot filaments, arcs jumping between its ears and the ridge of its back. Fangs glow like charged copper, eyes bright electric blue, a collar of static fuzz around the neck. It lopes forward mid-stride, jaws parted in a silent howl, paws leaving scorch prints. Palette of storm indigo, electric blue, and silver against a dark plain beneath a gathering thunderhead. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,dps,90,49,Chain Howl,+5% ATK while any electric card is in the party.,"It runs ahead of every storm, howling to call the lightning down and then racing it home. Its fur stands on end in a permanent bristle, and its fangs hold a charge long after the sky has gone quiet. It has never been struck, which it interprets as a standing invitation.",electric,,,
sunflower-lion,card,Sunbloom Lion,"A proud lion whose mane is a single enormous sunflower, its petals radiating outward in one dense golden disc with the lion's face set at the center like a dark seed-heart, a few thick stalks and leaves trailing down the neck. Body is warm tawny fur over lean muscle, paws and tail tipped with green shoots, eyes bright amber. It stands head high, the great bloom turning slowly toward the sun, pollen and drifting seeds behind it. Palette of sunflower gold, olive green, and warm umber against a bright meadow at noon. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,support,68,61,Photosynthesis,Restores 3% party power at the start of each run.,"Its mane is a living crown of sunflowers that turns to face the light, even underground. Where it sleeps, the soil turns black and rich, and next spring a ring of new blooms points toward the spot. It is gentle with everything except shade.",grass,,,
tiger-of-darkness,card,Gloomstalker Tiger,"A massive tiger rendered almost entirely in layered shadow, its stripes darker voids cut by faint violet underglow, eyes two luminous points. Fur reads as drifting smoke with edges that fray into the night, shoulders broad and low, tail a curl of black vapour. It pads forward half-dissolved, one paw emerging while the rest melts into darkness. Palette of ink black, bruised violet, and cold moon-silver against a misted graveyard at midnight. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,dps,95,55,Umbral Pounce,Ignores 10% of enemy DEF.,"It has no outline of its own, only the suggestion of one where the dark refuses to sit still. Villages leave it offerings not out of fear but habit, and the offerings are always gone by morning. It has never been photographed, painted, or believed, which suits it perfectly.",dark,,,
lightning-horse,card,Stormbolt Stallion,"A wild, untamed horse with a shaggy natural coat and a rough earthy tail, its mane replaced by streaks of forked lightning that stream back over its neck and shoulders like a windswept crest, each bolt flickering and fraying into sparks. Body is a broad storm-grey hide of wind-blown fur, hooves striking sparks from the ground, static lifting the coat along its spine. It gallops full-tilt, head low and wild, nostrils flared, mane of lightning trailing behind. Palette of electric cobalt, silver-white, and deep indigo against a rain-slick plain. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,dps,89,52,Overcharge,+4% ATK for every electric card in the party.,"It was born the instant a bolt struck the earth and left a foal standing in the crater. It runs faster than the sound of its own hooves and arrives before the rain. Choosing it is not a matter of catching it, only of keeping up.",electric,,,
translucent-air-floating-octopus,card,Wispfloat Octopus,"A ghostly octopus adrift at night, its body a translucent violet specter glowing from within with purple bioluminescence, soft light pulsing down the length of its eight trailing tentacles. Skin is misty and half-transparent, edges bleeding into wisps of cold fog, small luminous eyes and glowing suckers dotting each arm. It floats upright in the dark, tentacles curling and swaying in a slow hypnotic drift. Palette of deep indigo night, glowing amethyst and orchid, with pale lavender highlights against a black sky and faint stars. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,support,52,44,Levitation,Raises party power by 5% while it is equipped.,"It is mostly air held together by curiosity, visible only as a shimmer and a slow ripple of tentacles. It drifts wherever the draft goes, and the draft, for reasons of its own, prefers to follow interesting people. It cannot be grabbed, only politely tolerated.",physical,,,
rolling-stone-hedgehog,card,Rollstone Hedgehog,"A round hedgehog armored with smooth river stones and chips of slate embedded among its quills, forming a near-perfect boulder shape. Grey and moss-flecked, small dark paws tucked, snout peeking from a gap in the stone plates, one bright eye. It leans forward at the top of a slope, about to commit, dust and pebbles shifting underfoot. Palette of granite grey, river brown, and moss green against a dusty foothill trail. cartoonish digital illustration, dramatic rim lighting, rich saturated color with accents",1,tank,57,87,Rolling Guard,Reduces incoming damage by 7% once it has moved this run.,It curls into a ball so dense with embedded stones that it no longer bothers to unroll for much. Downhill is its preferred direction and its only real plan. It has started more avalanches by accident than most mountains manage on purpose.,earth,,,
