id,name,kind,rarity,tier,design
legendary_water_core,Legendary Water Core,core,4,4,"A monumental crystal heart of deep-sea crystal sheathed in pearl and silver coral, its core a churning maelstrom lit by glowing currents. Ribbons of water spiral around it and a crown of frozen foam rings its tip. Brilliant cyan, abyssal blue and silver palette. It floats point-down over a dark trench backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_electric_core,Lesser Electric Core,core,1,1,"A small rough crystal heart of cloudy yellow quartz, its cracked facets snapping with thin static arcs and a single dim spark in the core. A faint charge lifts loose grit around it. Dull amber, pale yellow and slate palette. It rests point-down on a dark metal backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_electric_core,Greater Electric Core,core,2,2,"A chunky faceted crystal heart of bright electric yellow, polished faces over a core that flickers with branching lightning. Loose sparks jump between its edges and fine copper wires cling to its base. Vivid yellow, white and charcoal palette. It hovers point-down over a dark storm backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_electric_core,Mythic Electric Core,core,3,3,"A large ornate crystal heart of yellow crystal bound in copper coil, its core a contained storm of forked lightning and glowing ring marks. Constant arcs crawl across engraved facets. Golden yellow, copper and deep slate palette. It hangs point-down over a dark thundercloud backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_electric_core,Legendary Electric Core,core,4,4,"A monumental crystal heart of golden electrum wrapped in a crown of copper and iron, its core a blinding cage of white lightning. Great arcs leap outward in all directions and the air hums with charge. Brilliant white, electric yellow and bronze palette. It floats point-down over a dark thunderhead backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_grass_core,Lesser Grass Core,core,1,1,"A small rough crystal heart of mossy green, its cloudy facets shot through with fine roots and a single unfurling sprout at its tip. Loose soil and pollen cling to it. Dull olive, moss and earth-brown palette. It rests point-down on a dark forest-floor backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_grass_core,Greater Grass Core,core,2,2,"A chunky faceted crystal heart of vivid leaf-green, polished faces over a core woven with glowing vines and drifting spores. Small leaves unfurl from cracks along its sides. Fresh green, chartreuse and bark-brown palette. It hovers point-down over a dark woodland backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_grass_core,Mythic Grass Core,core,3,3,"A large ornate crystal heart of jade cored with living sap, ringed by blooming flowers and curled vines that glow faintly. Fireflies drift around it through a haze of pollen. Emerald, jade and warm brown palette. It hangs point-down over a dark overgrown-ruin backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_grass_core,Legendary Grass Core,core,4,4,"A monumental crystal heart of heartwood and emerald, its core a lush heartbeat of light with a great tree's roots and branches coiling from its crown. Blossoms and golden pollen swirl around it. Brilliant green, gold and bark-brown palette. It floats point-down over a dark ancient-grove backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_earth_core,Lesser Earth Core,core,1,1,"A small rough crystal heart of dull ochre stone, its cracked facets speckled with grit and one embedded pebble. Heavy and unfinished, it sits low and stubborn. Muted brown, clay and grey palette. It rests point-down on a dark soil backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_earth_core,Greater Earth Core,core,2,2,"A chunky faceted crystal heart of polished sandstone and agate, its bands glowing faintly in earthy colours around a core of packed soil. Small stones orbit it like satellites. Warm ochre, terracotta and slate palette. It hovers point-down over a dark rocky backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_earth_core,Mythic Earth Core,core,3,3,"A large ornate crystal heart of layered stone carved with angular runes, its core a glowing vein of molten gold ore. Floating rock fragments ring its waist and dust drifts around it. Ochre, agate-red and gold palette. It hangs point-down over a dark cavern backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_earth_core,Legendary Earth Core,core,4,4,"A monumental crystal heart of mountain granite banded with precious ore, its core a luminous geode of amethyst and gold. Great stone shards orbit it in a ring and dust storms spiral outward. Brilliant ochre, amethyst and gold palette. It floats point-down over a dark canyon backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_ice_core,Lesser Ice Core,core,1,1,"A small rough crystal heart of pale frost-white, its cloudy facets holding a single trapped snowflake and a thread of frozen water. Cold vapour curls from its tip. Pale cyan, white and slate palette. It rests point-down on a dark icy backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_ice_core,Greater Ice Core,core,2,2,"A chunky faceted crystal heart of clear glacial blue, polished faces over a core of frozen currents and suspended shards of ice. Frost forms and melts along its edges. Cyan, pale blue and white palette. It hovers point-down over a dark frozen-lake backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_ice_core,Mythic Ice Core,core,3,3,"A large ornate crystal heart of prismatic ice ringed by a frost filigree, its core refracting light into cold rainbows. Snow dust and tiny ice shards drift around it. Brilliant cyan, prism white and deep blue palette. It hangs point-down over a dark glacier backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_ice_core,Legendary Ice Core,core,4,4,"A monumental crystal heart of ancient glacier ice sheathed in a crown of frozen crystal, its core a blinding prism splitting light into aurora bands. Blizzard snow spirals outward and shards hover in orbit. Brilliant white, cyan and violet palette. It floats point-down over a dark polar backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_dragon_core,Lesser Dragon Core,core,1,1,"A small rough crystal heart of dusky crimson, its facets marked like scales and seeded with a single embryonic scale. Faint heat simmers beneath it. Deep crimson, bronze and charcoal palette. It rests point-down on a dark hoard backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_dragon_core,Greater Dragon Core,core,2,2,"A chunky faceted crystal heart of ruby red, its surface layered in polished scale plates around a core of glowing draconic blood. Small shed scales drift around it. Vivid crimson, gold and dark bronze palette. It hovers point-down over a dark treasure backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_dragon_core,Mythic Dragon Core,core,3,3,"A large ornate crystal heart of crimson gemstone wrapped in gold regalia, its core burning with a coiled serpent of light. Scale plates ripple across it and coins circle in its wake. Royal crimson, gold and black palette. It hangs point-down over a dark throne backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_dragon_core,Legendary Dragon Core,core,4,4,"A monumental crystal heart of dragonstone ringed in a crown of red-gold regalia, its core a coiled dragon of living fire with spread wings. Molten scale shards orbit it and treasure glints below. Brilliant ruby, gold and obsidian palette. It floats point-down over a dark dragon-hoard backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
lesser_dark_core,Lesser Dark Core,core,1,1,"A small rough crystal heart of smoky black quartz, its cloudy facets bleeding thin wisps of shadow and a dim violet pinprick at its core. Ash dusts its base. Charcoal, bruised purple and slate palette. It rests point-down on a dark crypt backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
greater_dark_core,Greater Dark Core,core,2,2,"A chunky faceted crystal heart of obsidian black, polished faces over a core of swirling violet smoke that never settles. Shadow wisps peel off and curl around it. Deep black, indigo and faint magenta palette. It hovers point-down over a dark ruined-altar backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
mythic_dark_core,Mythic Dark Core,core,3,3,"A large ornate crystal heart of black glass bound in tarnished silver, its core an eye of violet void with faint runes crawling across its facets. Smoke pours from every seam. Void black, violet and silver palette. It hangs point-down over a dark catacomb backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
legendary_dark_core,Legendary Dark Core,core,4,4,"A monumental crystal heart of pure void obsidian crowned with tarnished silver, its core a devouring violet eclipse ringed by drifting shadow. Bats of smoke spiral around it and runes burn cold. Brilliant violet, deep black and silver palette. It floats point-down over a dark abyss backdrop. game item icon, centered composition, soft rim lighting, rich saturated color with accents"
